,experiment,hour,date,device_make,browser,aware
227,1,9,6,13,1,1
228,1,14,6,13,1,1
229,0,9,1,13,1,0
230,0,6,1,13,1,0
231,0,2,1,13,1,1
232,0,3,7,13,1,0
233,1,13,6,13,4,0
234,1,12,2,13,1,0
235,1,19,5,68,7,1
236,0,6,4,13,1,0
237,0,15,0,13,4,1
238,1,20,4,94,2,0
239,0,6,7,13,1,1
240,1,15,2,66,2,1
241,1,19,1,13,1,1
242,1,9,0,13,1,1
243,1,11,6,13,1,0
244,0,2,3,13,4,0
245,1,1,7,17,1,0
246,0,8,2,60,7,0
247,1,3,3,13,1,0
248,0,3,4,82,4,0
249,0,18,5,13,1,0
250,1,16,5,42,2,0
251,0,18,5,13,1,0
252,1,15,5,13,2,0
253,0,15,0,55,4,1
254,0,0,7,26,1,1
255,1,4,6,73,2,0
256,1,0,0,13,1,0
257,0,5,2,13,1,0
258,1,6,7,5,2,1
259,1,1,3,13,1,0
260,1,7,0,13,1,0
261,0,14,1,13,1,0
262,1,3,3,71,7,1
263,1,7,0,13,1,0
264,1,1,0,81,7,0
265,1,10,6,13,1,1
266,1,7,1,13,1,0
267,0,10,6,19,4,0
268,0,15,0,33,4,1
269,0,8,6,13,1,0
270,0,10,7,12,4,0
271,1,10,0,72,7,0
272,0,10,2,13,1,1
273,1,8,7,73,2,1
274,0,15,0,13,1,1
275,0,15,0,66,4,1
276,0,18,2,79,1,0
277,0,20,1,71,4,1
278,1,17,2,13,1,0
279,1,14,1,13,1,1
280,0,10,4,13,1,0
281,1,8,6,13,1,0
282,1,6,6,68,7,1
283,0,7,5,13,1,0
284,1,21,6,113,2,1
285,1,13,5,13,1,1
286,0,8,1,13,1,1
287,1,5,6,13,1,0
288,1,19,5,13,1,0
289,0,14,6,13,1,0
290,0,5,2,13,1,0
291,1,6,6,13,1,1
292,1,13,1,66,4,0
293,0,11,6,13,1,1
294,0,15,0,13,1,1
295,1,18,6,68,2,1
296,1,10,1,13,1,1
297,1,20,5,85,7,0
298,1,10,2,13,1,0
299,0,8,1,110,4,0
300,1,18,5,13,1,0
301,1,9,0,13,2,0
302,1,9,3,13,1,0
303,1,3,7,13,2,0
304,0,12,7,1,4,1
305,0,8,4,67,2,1
306,1,15,5,39,4,0
307,0,19,6,97,4,0
308,0,6,7,72,2,1
309,1,2,1,13,2,0
310,1,7,3,68,7,0
311,0,10,4,13,1,1
312,1,16,1,65,7,0
313,0,21,5,21,1,1
314,0,15,0,13,1,0
315,0,12,6,42,1,0
316,1,12,2,13,1,0
317,0,2,7,13,1,1
318,0,15,0,13,1,0
319,1,10,0,87,7,1
320,0,15,0,13,1,0
321,0,15,0,13,1,1
322,0,15,0,13,1,0
323,0,2,5,13,1,0
324,1,2,4,13,1,0
325,1,8,6,13,2,0
326,1,17,4,75,7,0
327,0,15,0,1,4,1
328,1,8,1,13,1,0
329,1,16,5,13,2,0
330,0,4,7,13,1,1
331,0,4,6,26,1,0
332,1,10,6,65,4,0
333,0,15,0,78,4,1
334,1,7,2,21,2,0
335,0,21,5,47,4,1
336,0,15,0,47,7,1
337,1,15,6,13,1,0
338,1,10,0,73,2,0
339,0,15,0,13,1,1
340,1,0,2,13,1,1
341,0,0,6,13,1,0
342,1,0,6,13,1,0
343,1,11,7,13,1,0
344,1,16,5,13,1,1
345,0,5,7,43,7,0
346,1,4,1,13,2,0
347,1,8,2,13,1,0
348,0,15,0,51,4,0
349,1,15,5,13,1,0
350,1,3,7,13,1,0
351,1,12,2,18,0,1
352,0,8,7,54,7,1
353,0,1,2,41,7,0
354,0,15,7,13,1,0
355,1,7,0,13,1,1
356,1,8,6,24,2,0
357,0,7,6,79,4,0
358,1,18,5,70,4,0
359,1,8,0,13,1,0
360,1,6,0,54,7,1
361,0,22,5,13,1,1
362,0,17,4,13,1,1
363,1,1,0,13,1,1
364,1,3,1,13,1,0
365,0,15,0,68,4,0
366,1,14,6,27,2,0
367,1,11,6,13,1,0
368,1,17,5,13,1,1
369,1,10,1,61,2,0
370,0,16,7,46,7,1
371,0,15,0,114,5,0
372,0,15,0,114,6,0
373,1,3,3,13,1,0
374,0,8,5,72,4,1
375,0,19,1,13,1,0
376,0,15,0,13,1,0
377,1,16,6,13,1,0
378,1,19,4,68,7,1
379,1,7,0,13,1,0
380,1,16,6,75,2,1
381,1,16,6,13,1,0
382,0,15,0,13,1,0
383,0,15,0,13,1,1
384,1,9,2,27,2,1
385,1,0,4,25,2,0
386,1,6,3,13,1,1
387,0,15,0,13,1,0
388,1,10,3,13,1,1
389,1,6,3,13,1,1
390,1,5,0,13,2,1
391,0,15,0,13,1,0
392,0,15,0,13,1,0
393,0,15,0,71,7,1
394,1,13,2,13,1,1
395,0,3,4,13,1,0
396,0,13,1,13,1,0
397,1,9,0,13,1,0
398,0,0,3,105,2,0
399,1,11,2,13,1,1
400,1,12,6,13,1,0
401,0,14,5,13,1,0
402,1,23,1,13,1,1
403,0,1,6,13,1,1
404,0,15,0,46,7,1
405,0,15,0,13,1,1
406,1,14,0,13,1,0
407,0,10,6,72,4,0
408,1,8,2,68,7,0
409,1,18,4,13,1,0
410,1,14,5,13,1,1
411,0,15,0,13,1,0
412,0,11,2,13,1,1
413,0,15,0,13,1,1
414,1,7,6,13,1,1
415,1,21,5,21,1,1
416,1,15,2,42,7,0
417,1,17,6,13,1,0
418,0,14,7,13,1,0
419,1,7,5,94,2,0
420,1,15,5,13,1,1
421,0,19,5,13,1,0
422,0,15,0,13,1,1
423,1,15,5,13,1,0
424,1,9,4,13,1,1
425,1,22,4,13,1,1
426,1,3,4,72,7,0
427,0,15,0,72,4,1
428,0,9,6,13,1,0
429,0,16,5,47,7,1
430,0,3,1,13,1,0
431,1,18,5,13,1,0
432,1,11,0,13,1,0
433,1,22,5,68,4,0
434,0,15,0,13,1,1
435,1,10,0,13,1,1
436,1,4,7,64,2,1
437,1,8,2,68,1,0
438,1,16,1,13,1,0
439,0,15,0,64,7,1
440,1,8,0,13,1,1
441,1,11,2,46,7,0
442,1,6,1,13,1,1
443,1,15,5,13,1,0
444,1,6,2,13,1,0
445,1,14,1,2,4,0
446,1,10,1,13,1,1
447,1,9,3,13,1,0
448,1,9,1,13,1,1
449,1,17,1,13,1,0
450,0,12,1,13,2,0
451,1,12,7,41,7,0
452,1,16,7,13,1,0
453,1,14,4,13,2,0
454,0,11,1,66,7,1
455,1,12,6,13,1,1
456,0,13,6,68,4,0
457,0,8,4,13,1,1
458,1,19,1,13,1,0
459,0,15,0,13,1,0
460,1,20,6,54,4,0
461,0,14,5,51,4,0
462,0,10,6,68,4,1
463,1,11,6,13,1,0
464,0,15,0,13,1,1
465,1,8,0,13,1,1
466,1,12,0,13,1,0
467,0,3,1,114,5,1
468,0,15,0,41,7,1
469,0,14,5,68,7,0
470,1,10,2,72,2,1
471,0,15,0,13,1,0
472,0,14,1,53,7,1
473,1,0,2,13,1,0
474,0,12,6,13,1,1
475,1,10,0,13,1,0
476,1,11,0,13,1,0
477,0,15,0,13,1,1
478,0,15,0,24,4,1
479,0,15,0,13,1,0
480,1,8,0,13,1,0
481,0,5,3,13,1,0
482,0,15,0,13,1,0
483,1,4,6,43,2,0
484,0,15,0,13,1,0
485,1,9,2,86,7,1
486,1,4,1,13,1,0
487,1,18,5,13,1,1
488,0,7,1,71,7,0
489,0,4,7,13,1,0
490,1,10,3,93,4,1
491,0,15,0,23,4,0
492,1,20,5,100,2,1
493,1,15,7,13,1,0
494,1,8,0,13,1,0
495,0,8,1,68,4,1
496,0,15,0,45,7,1
497,0,15,1,72,4,1
498,0,15,0,72,4,1
499,0,15,0,13,1,0
500,1,10,0,47,2,0
