,experiment,hour,date,device_make,browser,aware
991,0,15,0,13,1,0
992,0,15,0,13,1,0
993,1,11,7,13,1,0
994,1,20,1,13,2,1
995,0,15,0,13,1,0
996,0,3,5,51,7,0
997,0,6,7,66,4,0
998,0,15,5,13,1,0
999,0,15,0,13,1,0
1000,0,9,2,13,1,1
1001,1,10,7,26,1,0
1002,1,0,6,16,1,1
1003,1,21,6,13,1,0
1004,0,17,2,13,1,0
1005,1,7,3,66,4,1
1006,1,7,1,13,1,0
1007,1,0,6,45,7,1
1008,0,15,0,13,1,0
1009,0,12,6,13,1,1
1010,0,15,0,52,7,1
1011,1,6,2,13,1,1
1012,1,18,6,13,1,1
1013,1,0,0,13,2,1
1014,1,20,6,13,1,1
1015,1,20,5,48,2,1
1016,0,16,2,13,1,1
1017,0,9,1,13,1,1
1018,1,15,5,34,4,0
1019,1,10,1,13,1,0
1020,0,9,4,13,1,1
1021,0,4,6,13,1,0
1022,0,9,3,54,2,0
1023,0,15,0,68,4,0
1024,0,15,0,47,7,0
1025,0,15,0,91,2,0
1026,0,15,0,13,1,0
1027,0,15,0,13,1,1
1028,1,14,0,13,1,1
1029,1,4,3,62,2,1
1030,1,13,0,28,2,1
1031,0,10,4,13,1,0
1032,1,10,3,13,1,0
1033,1,7,1,11,2,1
1034,1,16,5,13,1,0
1035,1,11,6,13,1,0
1036,1,22,6,13,1,0
1037,1,18,2,86,7,1
1038,0,1,2,66,7,0
1039,0,9,1,86,7,0
1040,0,15,0,46,4,0
1041,1,2,6,114,5,0
1042,0,15,0,13,1,1
1043,1,21,4,36,2,1
1044,1,1,0,52,2,1
1045,1,3,3,13,1,1
1046,1,14,2,43,7,1
1047,0,15,0,65,7,1
1048,0,16,6,13,1,1
1049,0,20,1,13,1,0
1050,1,7,4,13,1,1
1051,0,15,1,66,4,0
1052,1,8,4,13,1,0
1053,1,13,4,53,4,1
1054,1,11,1,53,2,0
1055,0,15,0,107,4,0
1056,0,12,1,1,4,0
1057,1,18,5,13,1,1
1058,1,8,0,13,1,1
1059,0,10,5,13,1,1
1060,0,20,6,72,4,0
1061,1,20,1,13,1,1
1062,1,9,3,13,1,1
1063,1,4,7,44,2,0
1064,0,11,1,13,1,1
1065,0,15,0,13,1,1
1066,0,4,1,13,1,1
1067,1,17,6,63,2,0
1068,0,21,5,8,2,1
1069,0,7,4,26,1,0
1070,0,20,1,106,4,0
1071,0,15,0,13,1,1
1072,1,18,6,13,1,0
1073,0,5,6,114,5,1
1074,0,15,0,52,7,0
1075,1,7,0,62,2,0
1076,0,21,5,13,1,1
1077,0,16,1,13,1,1
1078,0,5,7,13,1,0
1079,1,14,2,21,2,1
1080,1,10,6,67,7,1
1081,0,21,5,13,1,1
1082,0,6,7,13,1,1
1083,0,15,0,77,7,1
1084,0,5,2,13,1,0
1085,1,18,1,13,1,1
1086,1,7,5,97,4,1
1087,1,15,5,43,7,0
1088,1,13,5,43,2,0
1089,1,19,5,13,2,0
1090,0,19,5,68,2,0
1091,0,15,0,13,1,0
1092,0,15,0,43,7,0
1093,0,9,6,32,4,1
1094,1,8,2,13,1,0
1095,1,18,5,22,4,0
1096,0,7,4,13,1,1
1097,0,11,1,71,4,1
1098,0,14,1,13,1,0
1099,0,15,0,13,1,0
1100,1,8,6,71,2,1
1101,0,15,0,13,1,0
1102,1,7,5,13,1,1
1103,0,15,0,13,1,0
1104,1,23,6,13,1,1
1105,1,10,0,84,2,1
1106,1,20,6,13,1,1
1107,0,15,0,13,1,1
1108,0,3,7,80,2,0
1109,0,14,6,72,4,0
1110,1,19,2,48,2,1
1111,1,5,7,69,2,1
1112,1,15,1,13,1,0
1113,1,5,3,13,1,0
1114,1,7,3,31,2,0
1115,1,12,1,68,7,0
1116,1,6,6,13,1,0
1117,1,8,7,13,1,1
1118,0,15,0,13,2,0
1119,1,6,3,13,1,0
1120,0,21,6,13,1,0
1121,1,11,0,13,1,0
1122,0,9,4,65,4,1
1123,0,5,2,13,1,0
1124,1,8,5,57,7,0
1125,0,15,0,13,1,0
1126,1,7,0,13,1,1
1127,0,14,7,101,4,0
1128,1,8,3,37,2,1
1129,0,8,3,13,1,1
1130,1,1,0,13,1,0
1131,1,9,3,73,2,0
1132,0,1,3,87,7,0
1133,1,3,2,66,2,0
1134,0,11,1,114,3,1
1135,1,9,2,13,1,0
1136,0,15,0,76,4,1
1137,1,13,0,13,2,0
1138,0,15,0,13,1,0
1139,1,2,3,26,1,1
1140,0,15,0,69,2,1
1141,0,14,5,13,1,0
1142,1,4,7,94,2,1
1143,1,3,2,13,1,1
1144,0,15,0,23,4,1
1145,1,21,6,13,1,1
1146,1,4,7,13,1,1
1147,1,12,0,13,1,0
1148,1,8,1,13,1,0
1149,0,7,4,47,7,0
1150,1,4,0,13,1,0
1151,0,21,5,13,1,1
1152,1,22,4,13,1,0
1153,1,17,6,13,1,1
1154,1,8,6,35,2,0
1155,0,15,0,81,7,1
1156,1,9,6,13,1,1
1157,1,3,6,89,4,0
1158,0,15,0,12,4,1
1159,0,15,5,11,4,1
1160,1,13,4,43,2,1
1161,1,5,3,105,4,0
1162,0,20,6,33,4,0
1163,1,13,1,99,4,1
1164,1,21,6,13,2,1
1165,0,15,0,35,4,1
1166,0,15,0,13,1,1
1167,0,2,1,72,2,1
1168,0,15,0,64,7,1
1169,1,6,1,13,1,0
1170,1,7,0,13,1,0
1171,1,20,4,71,2,1
1172,0,15,0,13,1,0
1173,1,8,6,13,1,1
1174,0,15,0,13,1,0
1175,0,15,0,81,7,0
1176,1,13,6,13,1,1
1177,0,15,0,13,1,0
1178,1,15,5,13,1,0
1179,0,20,5,13,1,0
1180,0,15,0,51,7,0
1181,1,3,7,13,1,0
1182,1,4,5,86,7,1
1183,1,9,0,13,4,0
1184,0,19,2,72,7,0
1185,1,14,5,13,2,0
1186,1,17,6,73,2,1
1187,1,1,1,13,1,1
1188,0,7,1,64,7,0
1189,1,8,0,86,2,1
1190,0,15,0,95,4,1
1191,1,2,0,42,7,1
1192,1,5,7,68,7,0
1193,0,3,3,42,7,1
1194,1,13,2,66,2,1
1195,0,4,7,55,7,1
1196,1,4,3,13,1,1
1197,0,15,0,65,7,1
1198,1,5,0,13,1,0
1199,0,15,0,13,4,0
1200,0,15,0,13,1,1
1201,0,9,5,96,7,0
1202,1,0,0,13,1,0
1203,0,17,4,114,6,0
1204,0,15,0,13,1,0
1205,1,14,6,13,1,0
1206,0,1,4,13,1,0
1207,1,10,2,66,2,1
1208,0,16,4,13,1,0
1209,1,19,5,13,1,0
1210,0,5,3,13,1,1
1211,1,8,7,13,1,0
1212,1,8,7,44,2,0
1213,1,3,2,13,1,0
1214,0,15,0,13,1,1
1215,0,2,1,64,4,0
1216,1,13,1,104,2,1
1217,1,6,7,13,1,0
1218,0,15,0,13,1,1
1219,0,8,6,33,4,0
1220,1,11,0,13,1,0
1221,0,15,0,13,1,1
1222,0,10,7,112,4,1
1223,1,6,1,13,2,1
1224,0,15,0,81,7,1
1225,0,12,7,51,2,0
1226,0,15,0,13,1,1
1227,0,3,2,13,1,0
1228,0,15,0,13,1,0
1229,0,4,2,2,1,0
1230,0,15,0,73,7,1
1231,0,4,1,13,1,0
1232,1,17,5,69,4,0
1233,1,4,6,13,2,1
1234,0,1,7,13,1,1
1235,1,14,6,13,1,1
1236,1,8,7,72,7,1
1237,1,18,6,13,1,0
1238,1,21,2,13,1,1
1239,1,1,1,13,1,1
1240,0,7,6,13,1,0
1241,0,16,7,13,1,0
1242,1,4,0,13,1,0
